Arizona,1967,18583,49923,1224,1634000,,
Arizona,1968,19496,50471,1448,1670000,,
Arizona,1969,22053,53231,1692,1693000,,
Arizona,1970,26464,62918,2130,1772482,,
Arizona,1971,26549,67566,2095,1849000,,
Arizona,1972,31429,66883,2350,1945000,,
Arizona,1973,40301,76560,3031,2058000,,
Arizona,1974,54557,97286,4396,2153000,,
Arizona,1975,56265,105588,3780,2224000,,
Arizona,1976,53722,105389,2949,2270000,,
Arizona,1977,53866,102571,3173,2296000,,
Arizona,1978,49023,106042,3835,2354000,,
Arizona,1979,48916,116976,4305,2450000,,
Arizona,1980,58527,132814,5258,2715357,,
Arizona,1981,57655,127469,4961,2793000,,
Arizona,1982,53861,124723,4537,2860000,,
Arizona,1983,49440,114721,3923,2963000,,
Arizona,1984,52327,118604,4003,3053000,,
Arizona,1985,59585,135720,4670,3187000,,
Arizona,1986,63278,143845,5614,3317000,,
Arizona,1987,55059,153296,4687,3386000,,
Arizona,1988,54773,167121,4750,3466000,,
Arizona,1989,59284,181574,4944,3556000,,
Arizona,1990,61206,172375,5897,3665228,,
Arizona,1991,60281,159987,6215,3750000,,
Arizona,1992,54095,158053,5867,3832000,,
Arizona,1993,57684,172689,6412,3936000,,
Arizona,1994,60157,190649,6601,4075000,,
Arizona,1995,59762,207763,7329,4218000,,
Arizona,1996,55630,188300,7429,4428000,,
Arizona,1997,60077,195045,7547,4555000,,
Arizona,1998,56473,183137,7715,4669000,,
Arizona,1999,49423,167731,7288,4778332,,
Arizona,2000,51902,176705,7504,5130632,,
Arizona,2001,54821,186850,8868,5306966,,
Arizona,2002,59087,201541,8000,5441125,,
Arizona,2003,58613,198725,7619,5579222,,
Arizona,2004,56885,179012,7721,5739879,,
Arizona,2005,56328,176112,8579,5953007,,
Arizona,2006,59418,178321,9491,6166318,,
Arizona,2007,59988,177076,9764,6338755,,
Arizona,2008,58606,169460,9809,6500180,,
Arizona,2009,54308,155976,8199,6595778,,
Arizona,2010,50932,154137,6953,6413158,,
Arizona,2011,54695,155400,7145,6467315,,
Arizona,2012,52934,159838,7386,6553255,,
Arizona,2013,48533,159272,6702,6626624,,
Arizona,2014,43562,154091,6249,6731484,,
Arizona,2015,37957,152365,6360,6828065,,
Arizona,2016,37736,150275,7055,6931071,,
Arizona,2017,37627,147830,7440,7016270,,
Arizona,2018,31532,141303,6523,7171646,,
Arizona,2019,28699,130788,6410,7278717,,
Arkansas,1960,5399,10250,443,1786272,,
Arkansas,1961,5536,10211,446,1797000,,
Arkansas,1962,5683,11169,400,1823000,,
Arkansas,1963,6087,12315,466,1858000,,
Arkansas,1964,7135,14622,565,1933000,,
Arkansas,1965,6344,14254,465,1960000,,
Arkansas,1966,7044,15140,574,1955000,,
Arkansas,1967,8735,17301,693,1968000,,
Arkansas,1968,11463,21506,796,2012000,,
Arkansas,1969,12989,24069,885,1995000,,
Arkansas,1970,14606,25388,877,1923295,,
Arkansas,1971,14014,24173,947,1944000,,
Arkansas,1972,14541,24891,1084,1978000,,
Arkansas,1973,18088,29204,1456,2037000,,
Arkansas,1974,22170,35989,1664,2062000,,
Arkansas,1975,22791,41199,1854,2116000,,
Arkansas,1976,19771,42474,1618,2109000,,
Arkansas,1977,20852,39924,1784,2144000,,
Arkansas,1978,21140,42647,1748,2186000,,
Arkansas,1979,21457,45267,1626,2180000,,
Arkansas,1980,25559,49558,1848,2284037,,
Arkansas,1981,24732,50959,1776,2294000,,
Arkansas,1982,24547,52450,1805,2291000,,
Arkansas,1983,22380,48140,1614,2328000,,
Arkansas,1984,20810,46807,1587,2349000,,
Arkansas,1985,22207,49957,1617,2359000,,
Arkansas,1986,24429,54677,1890,2372000,,
Arkansas,1987,25743,60862,1890,2388000,,
Arkansas,1988,26443,60363,2037,2422000,,
Arkansas,1989,28738,63084,2660,2406000,,
Arkansas,1990,28464,66630,2661,2350725,,
Arkansas,1991,29093,71487,3217,2372000,,
Arkansas,1992,26214,66288,3011,2399000,,
Arkansas,1993,26646,67767,3027,2424000,,
Arkansas,1994,26911,68478,3158,2453000,,
Arkansas,1995,24763,69935,3122,2484000,,
Arkansas,1996,23925,73010,2864,2510000,,
Arkansas,1997,25568,72253,2814,2523000,,
Arkansas,1998,23559,65525,2442,2538000,,
Arkansas,1999,21692,63927,2024,2551373,,
Arkansas,2000,21443,69740,2001,2673400,,
Arkansas,2001,22196,69590,2181,2694698,,
Arkansas,2002,23229,71129,2524,2706268,,
Arkansas,2003,25016,68061,2227,2727774,,
Arkansas,2004,30151,74242,2372,2750000,,
Arkansas,2005,30118,75510,2532,2775708,,
Arkansas,2006,31864,72646,2749,2810872,,
Arkansas,2007,32035,73096,3105,2834797,,
Arkansas,2008,33912,69905,2777,2855390,5.5,157046
Arkansas,2009,34753,68228,2576,2889450,7.8,225377
Arkansas,2010,32463,65796,2369,2921588,8.2,239570
Arkansas,2011,34016,70645,2357,2938582,8.3,243902
Arkansas,2012,31890,70327,2320,2949131,7.6,224134
Arkansas,2013,30485,70450,2258,2959373,7.2,213075
Arkansas,2014,24790,68627,2050,2966369,6.0,177982
Arkansas,2015,22640,68424,2098,2978204,5.0,148910
Arkansas,2016,23771,66747,2120,2988248,4.0,119530
Arkansas,2017,21862,63374,1935,3004279,3.7,111158
Arkansas,2018,19193,61487,1594,3013825,3.7,111512
Arkansas,2019,18095,60735,1557,3017804,,
California,1960,143102,311956,15287,15717204,,
California,1961,146615,319834,14832,16397000,,
